ID,duration,mix_wav,mix_wav_format,mix_wav_opts,s1_wav,s1_wav_format,s1_wav_opts,s2_wav,s2_wav_format,s2_wav_opts,noise_wav,noise_wav_format,noise_wav_opts
21,1.0,../../../min/train/mixture/01aa0101_1.431_209o0102_-1.431.wav,wav,,../../../min/train/source1/01aa0101_1.431_209o0102_-1.431.wav,wav,,../../../min/train/source2/01aa0101_1.431_209o0102_-1.431.wav,wav,,,,
22,1.0,../../../min/train/mixture/01aa0101_1.5577_209o010d_-1.5577.wav,wav,,../../../min/train/source1/01aa0101_1.5577_209o010d_-1.5577.wav,wav,,../../../min/train/source2/01aa0101_1.5577_209o010d_-1.5577.wav,wav,,,,
23,1.0,../../../min/train/mixture/01aa0101_1.5736_209c0105_-1.5736.wav,wav,,../../../min/train/source1/01aa0101_1.5736_209c0105_-1.5736.wav,wav,,../../../min/train/source2/01aa0101_1.5736_209c0105_-1.5736.wav,wav,,,,
24,1.0,../../../min/train/mixture/01aa0101_1.6405_209c010g_-1.6405.wav,wav,,../../../min/train/source1/01aa0101_1.6405_209c010g_-1.6405.wav,wav,,../../../min/train/source2/01aa0101_1.6405_209c010g_-1.6405.wav,wav,,,,
25,1.0,../../../min/train/mixture/01aa0101_1.6423_209o010o_-1.6423.wav,wav,,../../../min/train/source1/01aa0101_1.6423_209o010o_-1.6423.wav,wav,,../../../min/train/source2/01aa0101_1.6423_209o010o_-1.6423.wav,wav,,,,
26,1.0,../../../min/train/mixture/01aa0101_1.6497_209o010b_-1.6497.wav,wav,,../../../min/train/source1/01aa0101_1.6497_209o010b_-1.6497.wav,wav,,../../../min/train/source2/01aa0101_1.6497_209o010b_-1.6497.wav,wav,,,,
27,1.0,../../../min/train/mixture/01aa0101_1.6547_209c010d_-1.6547.wav,wav,,../../../min/train/source1/01aa0101_1.6547_209c010d_-1.6547.wav,wav,,../../../min/train/source2/01aa0101_1.6547_209c010d_-1.6547.wav,wav,,,,
28,1.0,../../../min/train/mixture/01aa0101_1.6565_209a010z_-1.6565.wav,wav,,../../../min/train/source1/01aa0101_1.6565_209a010z_-1.6565.wav,wav,,../../../min/train/source2/01aa0101_1.6565_209a010z_-1.6565.wav,wav,,,,
29,1.0,../../../min/train/mixture/01aa0101_1.6924_209c0103_-1.6924.wav,wav,,../../../min/train/source1/01aa0101_1.6924_209c0103_-1.6924.wav,wav,,../../../min/train/source2/01aa0101_1.6924_209c0103_-1.6924.wav,wav,,,,
30,1.0,../../../min/train/mixture/01aa0101_1.7898_209a010n_-1.7898.wav,wav,,../../../min/train/source1/01aa0101_1.7898_209a010n_-1.7898.wav,wav,,../../../min/train/source2/01aa0101_1.7898_209a010n_-1.7898.wav,wav,,,,
31,1.0,../../../min/train/mixture/01aa0101_1.9056_209c010l_-1.9056.wav,wav,,../../../min/train/source1/01aa0101_1.9056_209c010l_-1.9056.wav,wav,,../../../min/train/source2/01aa0101_1.9056_209c010l_-1.9056.wav,wav,,,,
32,1.0,../../../min/train/mixture/01aa0101_1.9136_209c010f_-1.9136.wav,wav,,../../../min/train/source1/01aa0101_1.9136_209c010f_-1.9136.wav,wav,,../../../min/train/source2/01aa0101_1.9136_209c010f_-1.9136.wav,wav,,,,
33,1.0,../../../min/train/mixture/01aa0101_1.9515_209a010q_-1.9515.wav,wav,,../../../min/train/source1/01aa0101_1.9515_209a010q_-1.9515.wav,wav,,../../../min/train/source2/01aa0101_1.9515_209a010q_-1.9515.wav,wav,,,,
34,1.0,../../../min/train/mixture/01aa0101_2.0034_209c010j_-2.0034.wav,wav,,../../../min/train/source1/01aa0101_2.0034_209c010j_-2.0034.wav,wav,,../../../min/train/source2/01aa0101_2.0034_209c010j_-2.0034.wav,wav,,,,
35,1.0,../../../min/train/mixture/01aa0101_2.1621_209o010e_-2.1621.wav,wav,,../../../min/train/source1/01aa0101_2.1621_209o010e_-2.1621.wav,wav,,../../../min/train/source2/01aa0101_2.1621_209o010e_-2.1621.wav,wav,,,,
36,1.0,../../../min/train/mixture/01aa0101_2.1626_209c010o_-2.1626.wav,wav,,../../../min/train/source1/01aa0101_2.1626_209c010o_-2.1626.wav,wav,,../../../min/train/source2/01aa0101_2.1626_209c010o_-2.1626.wav,wav,,,,
37,1.0,../../../min/train/mixture/01aa0101_2.3531_209a010r_-2.3531.wav,wav,,../../../min/train/source1/01aa0101_2.3531_209a010r_-2.3531.wav,wav,,../../../min/train/source2/01aa0101_2.3531_209a010r_-2.3531.wav,wav,,,,
38,1.0,../../../min/train/mixture/01aa0101_2.412_209o0109_-2.412.wav,wav,,../../../min/train/source1/01aa0101_2.412_209o0109_-2.412.wav,wav,,../../../min/train/source2/01aa0101_2.412_209o0109_-2.412.wav,wav,,,,
39,1.0,../../../min/train/mixture/01aa0101_2.4406_209c010i_-2.4406.wav,wav,,../../../min/train/source1/01aa0101_2.4406_209c010i_-2.4406.wav,wav,,../../../min/train/source2/01aa0101_2.4406_209c010i_-2.4406.wav,wav,,,,
40,1.0,../../../min/train/mixture/01aa0101_2.4833_209o010c_-2.4833.wav,wav,,../../../min/train/source1/01aa0101_2.4833_209o010c_-2.4833.wav,wav,,../../../min/train/source2/01aa0101_2.4833_209o010c_-2.4833.wav,wav,,,,
41,1.0,../../../min/train/mixture/01aa0101_2.5644_209c0101_-2.5644.wav,wav,,../../../min/train/source1/01aa0101_2.5644_209c0101_-2.5644.wav,wav,,../../../min/train/source2/01aa0101_2.5644_209c0101_-2.5644.wav,wav,,,,
42,1.0,../../../min/train/mixture/01aa0101_2.5728_209a010b_-2.5728.wav,wav,,../../../min/train/source1/01aa0101_2.5728_209a010b_-2.5728.wav,wav,,../../../min/train/source2/01aa0101_2.5728_209a010b_-2.5728.wav,wav,,,,
43,1.0,../../../min/train/mixture/01aa0101_2.7143_209a0111_-2.7143.wav,wav,,../../../min/train/source1/01aa0101_2.7143_209a0111_-2.7143.wav,wav,,../../../min/train/source2/01aa0101_2.7143_209a0111_-2.7143.wav,wav,,,,
44,1.0,../../../min/train/mixture/01aa0101_2.7158_209a010x_-2.7158.wav,wav,,../../../min/train/source1/01aa0101_2.7158_209a010x_-2.7158.wav,wav,,../../../min/train/source2/01aa0101_2.7158_209a010x_-2.7158.wav,wav,,,,
45,1.0,../../../min/train/mixture/01aa0101_2.8092_209o0106_-2.8092.wav,wav,,../../../min/train/source1/01aa0101_2.8092_209o0106_-2.8092.wav,wav,,../../../min/train/source2/01aa0101_2.8092_209o0106_-2.8092.wav,wav,,,,
46,1.0,../../../min/train/mixture/01aa0101_2.8135_209a010a_-2.8135.wav,wav,,../../../min/train/source1/01aa0101_2.8135_209a010a_-2.8135.wav,wav,,../../../min/train/source2/01aa0101_2.8135_209a010a_-2.8135.wav,wav,,,,
47,1.0,../../../min/train/mixture/01aa0101_2.8215_209c010p_-2.8215.wav,wav,,../../../min/train/source1/01aa0101_2.8215_209c010p_-2.8215.wav,wav,,../../../min/train/source2/01aa0101_2.8215_209c010p_-2.8215.wav,wav,,,,
48,1.0,../../../min/train/mixture/01aa0101_2.8388_209a010t_-2.8388.wav,wav,,../../../min/train/source1/01aa0101_2.8388_209a010t_-2.8388.wav,wav,,../../../min/train/source2/01aa0101_2.8388_209a010t_-2.8388.wav,wav,,,,
49,1.0,../../../min/train/mixture/01aa0101_2.9407_209c0102_-2.9407.wav,wav,,../../../min/train/source1/01aa0101_2.9407_209c0102_-2.9407.wav,wav,,../../../min/train/source2/01aa0101_2.9407_209c0102_-2.9407.wav,wav,,,,
50,1.0,../../../min/train/mixture/01aa0101_3.2956_209o0108_-3.2956.wav,wav,,../../../min/train/source1/01aa0101_3.2956_209o0108_-3.2956.wav,wav,,../../../min/train/source2/01aa0101_3.2956_209o0108_-3.2956.wav,wav,,,,
51,1.0,../../../min/train/mixture/01aa0101_3.3451_209a0112_-3.3451.wav,wav,,../../../min/train/source1/01aa0101_3.3451_209a0112_-3.3451.wav,wav,,../../../min/train/source2/01aa0101_3.3451_209a0112_-3.3451.wav,wav,,,,
52,1.0,../../../min/train/mixture/01aa0101_3.3499_209a010v_-3.3499.wav,wav,,../../../min/train/source1/01aa0101_3.3499_209a010v_-3.3499.wav,wav,,../../../min/train/source2/01aa0101_3.3499_209a010v_-3.3499.wav,wav,,,,
53,1.0,../../../min/train/mixture/01aa0101_3.5483_209o010g_-3.5483.wav,wav,,../../../min/train/source1/01aa0101_3.5483_209o010g_-3.5483.wav,wav,,../../../min/train/source2/01aa0101_3.5483_209o010g_-3.5483.wav,wav,,,,
54,1.0,../../../min/train/mixture/01aa0101_3.5596_209a010m_-3.5596.wav,wav,,../../../min/train/source1/01aa0101_3.5596_209a010m_-3.5596.wav,wav,,../../../min/train/source2/01aa0101_3.5596_209a010m_-3.5596.wav,wav,,,,
55,1.0,../../../min/train/mixture/01aa0101_3.6808_209c010h_-3.6808.wav,wav,,../../../min/train/source1/01aa0101_3.6808_209c010h_-3.6808.wav,wav,,../../../min/train/source2/01aa0101_3.6808_209c010h_-3.6808.wav,wav,,,,
56,1.0,../../../min/train/mixture/01aa0101_3.6956_209c0104_-3.6956.wav,wav,,../../../min/train/source1/01aa0101_3.6956_209c0104_-3.6956.wav,wav,,../../../min/train/source2/01aa0101_3.6956_209c0104_-3.6956.wav,wav,,,,
57,1.0,../../../min/train/mixture/01aa0101_3.6985_209a0102_-3.6985.wav,wav,,../../../min/train/source1/01aa0101_3.6985_209a0102_-3.6985.wav,wav,,../../../min/train/source2/01aa0101_3.6985_209a0102_-3.6985.wav,wav,,,,
58,1.0,../../../min/train/mixture/01aa0101_3.7569_209c010c_-3.7569.wav,wav,,../../../min/train/source1/01aa0101_3.7569_209c010c_-3.7569.wav,wav,,../../../min/train/source2/01aa0101_3.7569_209c010c_-3.7569.wav,wav,,,,
59,1.0,../../../min/train/mixture/01aa0101_3.7591_209a010s_-3.7591.wav,wav,,../../../min/train/source1/01aa0101_3.7591_209a010s_-3.7591.wav,wav,,../../../min/train/source2/01aa0101_3.7591_209a010s_-3.7591.wav,wav,,,,
60,1.0,../../../min/train/mixture/01aa0101_3.7889_209c010a_-3.7889.wav,wav,,../../../min/train/source1/01aa0101_3.7889_209c010a_-3.7889.wav,wav,,../../../min/train/source2/01aa0101_3.7889_209c010a_-3.7889.wav,wav,,,,
61,1.0,../../../min/train/mixture/01aa0101_3.8216_209o010n_-3.8216.wav,wav,,../../../min/train/source1/01aa0101_3.8216_209o010n_-3.8216.wav,wav,,../../../min/train/source2/01aa0101_3.8216_209o010n_-3.8216.wav,wav,,,,
62,1.0,../../../min/train/mixture/01aa0101_3.8244_209a010j_-3.8244.wav,wav,,../../../min/train/source1/01aa0101_3.8244_209a010j_-3.8244.wav,wav,,../../../min/train/source2/01aa0101_3.8244_209a010j_-3.8244.wav,wav,,,,
63,1.0,../../../min/train/mixture/01aa0101_3.8295_209a0104_-3.8295.wav,wav,,../../../min/train/source1/01aa0101_3.8295_209a0104_-3.8295.wav,wav,,../../../min/train/source2/01aa0101_3.8295_209a0104_-3.8295.wav,wav,,,,
64,1.0,../../../min/train/mixture/01aa0101_3.9512_209c010e_-3.9512.wav,wav,,../../../min/train/source1/01aa0101_3.9512_209c010e_-3.9512.wav,wav,,../../../min/train/source2/01aa0101_3.9512_209c010e_-3.9512.wav,wav,,,,
65,1.0,../../../min/train/mixture/01aa0101_4.0257_209a0106_-4.0257.wav,wav,,../../../min/train/source1/01aa0101_4.0257_209a0106_-4.0257.wav,wav,,../../../min/train/source2/01aa0101_4.0257_209a0106_-4.0257.wav,wav,,,,
66,1.0,../../../min/train/mixture/01aa0101_4.0572_209o010k_-4.0572.wav,wav,,../../../min/train/source1/01aa0101_4.0572_209o010k_-4.0572.wav,wav,,../../../min/train/source2/01aa0101_4.0572_209o010k_-4.0572.wav,wav,,,,
67,1.0,../../../min/train/mixture/01aa0101_4.0749_209o010m_-4.0749.wav,wav,,../../../min/train/source1/01aa0101_4.0749_209o010m_-4.0749.wav,wav,,../../../min/train/source2/01aa0101_4.0749_209o010m_-4.0749.wav,wav,,,,
68,1.0,../../../min/train/mixture/01aa0101_4.2179_209a010l_-4.2179.wav,wav,,../../../min/train/source1/01aa0101_4.2179_209a010l_-4.2179.wav,wav,,../../../min/train/source2/01aa0101_4.2179_209a010l_-4.2179.wav,wav,,,,
69,1.0,../../../min/train/mixture/01aa0101_4.3051_209o010h_-4.3051.wav,wav,,../../../min/train/source1/01aa0101_4.3051_209o010h_-4.3051.wav,wav,,../../../min/train/source2/01aa0101_4.3051_209o010h_-4.3051.wav,wav,,,,
70,1.0,../../../min/train/mixture/01aa0101_4.6415_209c0109_-4.6415.wav,wav,,../../../min/train/source1/01aa0101_4.6415_209c0109_-4.6415.wav,wav,,../../../min/train/source2/01aa0101_4.6415_209c0109_-4.6415.wav,wav,,,,
71,1.0,../../../min/train/mixture/01aa0101_4.8737_209a010c_-4.8737.wav,wav,,../../../min/train/source1/01aa0101_4.8737_209a010c_-4.8737.wav,wav,,../../../min/train/source2/01aa0101_4.8737_209a010c_-4.8737.wav,wav,,,,
72,1.0,../../../min/train/mixture/01aa0101_4.8794_209a0107_-4.8794.wav,wav,,../../../min/train/source1/01aa0101_4.8794_209a0107_-4.8794.wav,wav,,../../../min/train/source2/01aa0101_4.8794_209a0107_-4.8794.wav,wav,,,,
73,1.0,../../../min/train/mixture/01aa0101_4.9827_209c0107_-4.9827.wav,wav,,../../../min/train/source1/01aa0101_4.9827_209c0107_-4.9827.wav,wav,,../../../min/train/source2/01aa0101_4.9827_209c0107_-4.9827.wav,wav,,,,
74,1.0,../../../min/train/mixture/01aa0102_0.045426_209a010c_-0.045426.wav,wav,,../../../min/train/source1/01aa0102_0.045426_209a010c_-0.045426.wav,wav,,../../../min/train/source2/01aa0102_0.045426_209a010c_-0.045426.wav,wav,,,,
75,1.0,../../../min/train/mixture/01aa0102_0.071935_209a010e_-0.071935.wav,wav,,../../../min/train/source1/01aa0102_0.071935_209a010e_-0.071935.wav,wav,,../../../min/train/source2/01aa0102_0.071935_209a010e_-0.071935.wav,wav,,,,
76,1.0,../../../min/train/mixture/01aa0102_0.087548_209a010z_-0.087548.wav,wav,,../../../min/train/source1/01aa0102_0.087548_209a010z_-0.087548.wav,wav,,../../../min/train/source2/01aa0102_0.087548_209a010z_-0.087548.wav,wav,,,,
77,1.0,../../../min/train/mixture/01aa0102_0.095898_209a0102_-0.095898.wav,wav,,../../../min/train/source1/01aa0102_0.095898_209a0102_-0.095898.wav,wav,,../../../min/train/source2/01aa0102_0.095898_209a0102_-0.095898.wav,wav,,,,
78,1.0,../../../min/train/mixture/01aa0102_0.12102_209o010h_-0.12102.wav,wav,,../../../min/train/source1/01aa0102_0.12102_209o010h_-0.12102.wav,wav,,../../../min/train/source2/01aa0102_0.12102_209o010h_-0.12102.wav,wav,,,,
79,1.0,../../../min/train/mixture/01aa0102_0.27013_209c010g_-0.27013.wav,wav,,../../../min/train/source1/01aa0102_0.27013_209c010g_-0.27013.wav,wav,,../../../min/train/source2/01aa0102_0.27013_209c010g_-0.27013.wav,wav,,,,
80,1.0,../../../min/train/mixture/01aa0102_0.43873_209c010a_-0.43873.wav,wav,,../../../min/train/source1/01aa0102_0.43873_209c010a_-0.43873.wav,wav,,../../../min/train/source2/01aa0102_0.43873_209c010a_-0.43873.wav,wav,,,,
81,1.0,../../../min/train/mixture/01aa0102_0.73216_209c010b_-0.73216.wav,wav,,../../../min/train/source1/01aa0102_0.73216_209c010b_-0.73216.wav,wav,,../../../min/train/source2/01aa0102_0.73216_209c010b_-0.73216.wav,wav,,,,
82,1.0,../../../min/train/mixture/01aa0102_0.759_209a010m_-0.759.wav,wav,,../../../min/train/source1/01aa0102_0.759_209a010m_-0.759.wav,wav,,../../../min/train/source2/01aa0102_0.759_209a010m_-0.759.wav,wav,,,,
83,1.0,../../../min/train/mixture/01aa0102_0.90704_209a010p_-0.90704.wav,wav,,../../../min/train/source1/01aa0102_0.90704_209a010p_-0.90704.wav,wav,,../../../min/train/source2/01aa0102_0.90704_209a010p_-0.90704.wav,wav,,,,
84,1.0,../../../min/train/mixture/01aa0102_1.0344_209a010s_-1.0344.wav,wav,,../../../min/train/source1/01aa0102_1.0344_209a010s_-1.0344.wav,wav,,../../../min/train/source2/01aa0102_1.0344_209a010s_-1.0344.wav,wav,,,,
85,1.0,../../../min/train/mixture/01aa0102_1.0486_209c0103_-1.0486.wav,wav,,../../../min/train/source1/01aa0102_1.0486_209c0103_-1.0486.wav,wav,,../../../min/train/source2/01aa0102_1.0486_209c0103_-1.0486.wav,wav,,,,
86,1.0,../../../min/train/mixture/01aa0102_1.0536_209a010r_-1.0536.wav,wav,,../../../min/train/source1/01aa0102_1.0536_209a010r_-1.0536.wav,wav,,../../../min/train/source2/01aa0102_1.0536_209a010r_-1.0536.wav,wav,,,,
87,1.0,../../../min/train/mixture/01aa0102_1.0882_209o010g_-1.0882.wav,wav,,../../../min/train/source1/01aa0102_1.0882_209o010g_-1.0882.wav,wav,,../../../min/train/source2/01aa0102_1.0882_209o010g_-1.0882.wav,wav,,,,
88,1.0,../../../min/train/mixture/01aa0102_1.1227_209a010o_-1.1227.wav,wav,,../../../min/train/source1/01aa0102_1.1227_209a010o_-1.1227.wav,wav,,../../../min/train/source2/01aa0102_1.1227_209a010o_-1.1227.wav,wav,,,,
89,1.0,../../../min/train/mixture/01aa0102_1.1937_209c0102_-1.1937.wav,wav,,../../../min/train/source1/01aa0102_1.1937_209c0102_-1.1937.wav,wav,,../../../min/train/source2/01aa0102_1.1937_209c0102_-1.1937.wav,wav,,,,
90,1.0,../../../min/train/mixture/01aa0102_1.2993_209a010w_-1.2993.wav,wav,,../../../min/train/source1/01aa0102_1.2993_209a010w_-1.2993.wav,wav,,../../../min/train/source2/01aa0102_1.2993_209a010w_-1.2993.wav,wav,,,,
91,1.0,../../../min/train/mixture/01aa0102_1.2997_209a010j_-1.2997.wav,wav,,../../../min/train/source1/01aa0102_1.2997_209a010j_-1.2997.wav,wav,,../../../min/train/source2/01aa0102_1.2997_209a010j_-1.2997.wav,wav,,,,
92,1.0,../../../min/train/mixture/01aa0102_1.3404_209c010n_-1.3404.wav,wav,,../../../min/train/source1/01aa0102_1.3404_209c010n_-1.3404.wav,wav,,../../../min/train/source2/01aa0102_1.3404_209c010n_-1.3404.wav,wav,,,,
93,1.0,../../../min/train/mixture/01aa0102_1.4829_209a010t_-1.4829.wav,wav,,../../../min/train/source1/01aa0102_1.4829_209a010t_-1.4829.wav,wav,,../../../min/train/source2/01aa0102_1.4829_209a010t_-1.4829.wav,wav,,,,
94,1.0,../../../min/train/mixture/01aa0102_1.5545_209o010j_-1.5545.wav,wav,,../../../min/train/source1/01aa0102_1.5545_209o010j_-1.5545.wav,wav,,../../../min/train/source2/01aa0102_1.5545_209o010j_-1.5545.wav,wav,,,,
95,1.0,../../../min/train/mixture/01aa0102_1.6963_209a0110_-1.6963.wav,wav,,../../../min/train/source1/01aa0102_1.6963_209a0110_-1.6963.wav,wav,,../../../min/train/source2/01aa0102_1.6963_209a0110_-1.6963.wav,wav,,,,
96,1.0,../../../min/train/mixture/01aa0102_1.7466_209o0107_-1.7466.wav,wav,,../../../min/train/source1/01aa0102_1.7466_209o0107_-1.7466.wav,wav,,../../../min/train/source2/01aa0102_1.7466_209o0107_-1.7466.wav,wav,,,,
97,1.0,../../../min/train/mixture/01aa0102_1.8357_209c0101_-1.8357.wav,wav,,../../../min/train/source1/01aa0102_1.8357_209c0101_-1.8357.wav,wav,,../../../min/train/source2/01aa0102_1.8357_209c0101_-1.8357.wav,wav,,,,
98,1.0,../../../min/train/mixture/01aa0102_1.8838_209a010u_-1.8838.wav,wav,,../../../min/train/source1/01aa0102_1.8838_209a010u_-1.8838.wav,wav,,../../../min/train/source2/01aa0102_1.8838_209a010u_-1.8838.wav,wav,,,,
99,1.0,../../../min/train/mixture/01aa0102_1.8897_209o010m_-1.8897.wav,wav,,../../../min/train/source1/01aa0102_1.8897_209o010m_-1.8897.wav,wav,,../../../min/train/source2/01aa0102_1.8897_209o010m_-1.8897.wav,wav,,,,
100,1.0,../../../min/train/mixture/01aa0102_1.9691_209c0104_-1.9691.wav,wav,,../../../min/train/source1/01aa0102_1.9691_209c0104_-1.9691.wav,wav,,../../../min/train/source2/01aa0102_1.9691_209c0104_-1.9691.wav,wav,,,,
101,1.0,../../../min/train/mixture/01aa0102_2.0472_209c010m_-2.0472.wav,wav,,../../../min/train/source1/01aa0102_2.0472_209c010m_-2.0472.wav,wav,,../../../min/train/source2/01aa0102_2.0472_209c010m_-2.0472.wav,wav,,,,
102,1.0,../../../min/train/mixture/01aa0102_2.1305_209c010c_-2.1305.wav,wav,,../../../min/train/source1/01aa0102_2.1305_209c010c_-2.1305.wav,wav,,../../../min/train/source2/01aa0102_2.1305_209c010c_-2.1305.wav,wav,,,,
103,1.0,../../../min/train/mixture/01aa0102_2.1431_209o010p_-2.1431.wav,wav,,../../../min/train/source1/01aa0102_2.1431_209o010p_-2.1431.wav,wav,,../../../min/train/source2/01aa0102_2.1431_209o010p_-2.1431.wav,wav,,,,
104,1.0,../../../min/train/mixture/01aa0102_2.3066_209o0104_-2.3066.wav,wav,,../../../min/train/source1/01aa0102_2.3066_209o0104_-2.3066.wav,wav,,../../../min/train/source2/01aa0102_2.3066_209o0104_-2.3066.wav,wav,,,,
105,1.0,../../../min/train/mixture/01aa0102_2.3543_209a0112_-2.3543.wav,wav,,../../../min/train/source1/01aa0102_2.3543_209a0112_-2.3543.wav,wav,,../../../min/train/source2/01aa0102_2.3543_209a0112_-2.3543.wav,wav,,,,
106,1.0,../../../min/train/mixture/01aa0102_2.5662_209o010b_-2.5662.wav,wav,,../../../min/train/source1/01aa0102_2.5662_209o010b_-2.5662.wav,wav,,../../../min/train/source2/01aa0102_2.5662_209o010b_-2.5662.wav,wav,,,,
107,1.0,../../../min/train/mixture/01aa0102_2.5782_209c0106_-2.5782.wav,wav,,../../../min/train/source1/01aa0102_2.5782_209c0106_-2.5782.wav,wav,,../../../min/train/source2/01aa0102_2.5782_209c0106_-2.5782.wav,wav,,,,
